Trái Đất quay quanh Mặt Trời.,Đúng,Sai
Mặt Trăng là một ngôi sao.,Sai,Đúng
Nước sôi ở 100 độ C ở áp suất tiêu chuẩn.,Đúng,Sai
Con người có 206 xương trong cơ thể.,Đúng,Sai
Cá heo là loài cá.,Sai,Đúng
Việt Nam có 64 tỉnh thành.,Sai,Đúng
Ánh sáng di chuyển nhanh hơn âm thanh.,Đúng,Sai
Kim cương được làm từ carbon.,Đúng,Sai
Châu Nam Cực là châu lục lạnh nhất thế giới.,Đúng,Sai
Hà Nội là thủ đô của Việt Nam.,Đúng,Sai
Con người sử dụng 10% não bộ.,Sai,Đúng
Mặt Trời mọc ở hướng Tây.,Sai,Đúng
Oxy chiếm khoảng 21% khí quyển Trái Đất.,Đúng,Sai
Cá voi là loài động vật có vú.,Đúng,Sai
Thành phố Hồ Chí Minh là thủ đô của Việt Nam.,Sai,Đúng
